R 	china_future 	connected!
R 	china_future 	instrument:SPD FG503&FG506
R 	china_future 	instrument:SPD FG503&FG507
R 	china_future 	instrument:SPD FG503&FG509
R 	china_future 	instrument:SPD SM502&SM507
R 	china_future 	instrument:SPD SM502&SM508
R 	china_future 	instrument:SPD SM502&SM503
R 	china_future 	instrument:SPD SM502&SM504
R 	china_future 	instrument:SPD SM502&SM505
R 	china_future 	instrument:SPD SM502&SM506
R 	china_future 	instrument:SPD SM502&SM509
R 	china_future 	instrument:SPD CF507&CF509
R 	china_future 	instrument:SPD RI411&RI501
R 	china_future 	instrument:SPD RI411&RI503
R 	china_future 	instrument:SPD RI411&RI505
R 	china_future 	instrument:SPD RI411&RI507
R 	china_future 	instrument:SPD RI411&RI509
R 	china_future 	instrument:SP jm1501&jm1501
R 	china_future 	instrument:SP jm1501&jm1505
R 	china_future 	instrument:SP jm1501&jm1509
R 	china_future 	instrument:SPD FG410&FG501
R 	china_future 	instrument:SPD FG410&FG412
R 	china_future 	instrument:SPD FG410&FG502
R 	china_future 	instrument:SPD FG410&FG503
R 	china_future 	instrument:SPD FG410&FG505
R 	china_future 	instrument:SPD FG410&FG506
R 	china_future 	instrument:SPD FG410&FG507
R 	china_future 	instrument:SPD FG410&FG508
R 	china_future 	instrument:SPD FG410&FG504
R 	china_future 	instrument:SPD FG410&FG509
R 	china_future 	instrument:SPD FG410&FG411
R 	china_future 	instrument:SPD OI505&OI507
R 	china_future 	instrument:SPD OI505&OI509
R 	china_future 	instrument:SPD LR505&LR507
R 	china_future 	instrument:SPD LR505&LR509
R 	china_future 	instrument:SP j1410&j1505
R 	china_future 	instrument:SP j1410&j1501
R 	china_future 	instrument:SPD OI503&OI505
R 	china_future 	instrument:SPD OI503&OI507
R 	china_future 	instrument:SPD OI503&OI509
R 	china_future 	instrument:SPD LR411&LR505
R 	china_future 	instrument:SPD LR411&LR503
R 	china_future 	instrument:SPD LR411&LR501
R 	china_future 	instrument:SPD LR411&LR507
R 	china_future 	instrument:SPD LR411&LR509
R 	china_future 	instrument:SPD SR411&SR503
R 	china_future 	instrument:SPD SR411&SR501
R 	china_future 	instrument:SPD SR411&SR505
R 	china_future 	instrument:SPD SR411&SR509
R 	china_future 	instrument:SPD SR411&SR511
R 	china_future 	instrument:SPD SR411&SR601
R 	china_future 	instrument:SPD SR411&SR507
R 	china_future 	instrument:SPD SR411&SR603
R 	china_future 	instrument:SPD SF503&SF504
R 	china_future 	instrument:SPD SF503&SF505
R 	china_future 	instrument:SPD SF503&SF506
R 	china_future 	instrument:SPD SF503&SF507
R 	china_future 	instrument:SPD SF503&SF508
R 	china_future 	instrument:SPD SF503&SF509
R 	china_future 	instrument:SP p1501&p1505
R 	china_future 	instrument:SP p1501&p1506
R 	china_future 	instrument:SP p1501&p1501
R 	china_future 	instrument:SP p1501&p1503
R 	china_future 	instrument:SP p1501&p1509
R 	china_future 	instrument:SPD SM508&SM509
R 	china_future 	instrument:SPD ME412&ME505
R 	china_future 	instrument:SPD ME412&ME502
R 	china_future 	instrument:SPD ME412&ME503
R 	china_future 	instrument:SPD ME412&ME504
R 	china_future 	instrument:SPD ME412&ME501
R 	china_future 	instrument:SP m1411&m1501
R 	china_future 	instrument:SP m1411&m1412
R 	china_future 	instrument:SP p1412&p1501
R 	china_future 	instrument:SPD SM501&SM508
R 	china_future 	instrument:SPD SM501&SM502
R 	china_future 	instrument:SPD SM501&SM503
R 	china_future 	instrument:SPD SM501&SM504
R 	china_future 	instrument:SPD SM501&SM505
R 	china_future 	instrument:SPD SM501&SM506
R 	china_future 	instrument:SPD SM501&SM507
R 	china_future 	instrument:SPD SM501&SM509
R 	china_future 	instrument:SPD RM508&RM509
R 	china_future 	instrument:SPD CF505&CF507
R 	china_future 	instrument:SPD CF505&CF509
R 	china_future 	instrument:SP c1501&c1501
R 	china_future 	instrument:SP c1501&c1505
R 	china_future 	instrument:SP c1501&c1509
R 	china_future 	instrument:SPD ME503&ME504
R 	china_future 	instrument:SPD ME503&ME505
R 	china_future 	instrument:SPD TA411&TA507
R 	china_future 	instrument:SPD TA411&TA508
R 	china_future 	instrument:SPD TA411&TA505
R 	china_future 	instrument:SPD TA411&TA506
R 	china_future 	instrument:SPD TA411&TA501
R 	china_future 	instrument:SPD TA411&TA412
R 	china_future 	instrument:SPD TA411&TA502
R 	china_future 	instrument:SPD TA411&TA503
R 	china_future 	instrument:SPD TA411&TA504
R 	china_future 	instrument:SPD TA411&TA509
R 	china_future 	instrument:SPD RS508&RS509
R 	china_future 	instrument:SPD CF503&CF505
R 	china_future 	instrument:SPD CF503&CF507
R 	china_future 	instrument:SPD CF503&CF509
R 	china_future 	instrument:SP pp1505&pp1509
R 	china_future 	instrument:SP jd1503&jd1505
R 	china_future 	instrument:SPD PM503&PM505
R 	china_future 	instrument:SPD PM503&PM507
R 	china_future 	instrument:SPD PM503&PM509
R 	china_future 	instrument:SPC a1601&m1509
R 	china_future 	instrument:SPC a1601&m1507
R 	china_future 	instrument:SPC a1601&m1505
R 	china_future 	instrument:SPD LR503&LR505
R 	china_future 	instrument:SPD LR503&LR507
R 	china_future 	instrument:SPD LR503&LR509
R 	china_future 	instrument:SPD JR411&JR505
R 	china_future 	instrument:SPD JR411&JR501
R 	china_future 	instrument:SPD JR411&JR503
R 	china_future 	instrument:SPD JR411&JR507
R 	china_future 	instrument:SPD JR411&JR509
R 	china_future 	instrument:SPD TA410&TA508
R 	china_future 	instrument:SPD TA410&TA503
R 	china_future 	instrument:SPD TA410&TA507
R 	china_future 	instrument:SPD TA410&TA502
R 	china_future 	instrument:SPD TA410&TA501
R 	china_future 	instrument:SPD TA410&TA412
R 	china_future 	instrument:SPD TA410&TA411
R 	china_future 	instrument:SPD TA410&TA505
R 	china_future 	instrument:SPD TA410&TA506
R 	china_future 	instrument:SPD TA410&TA504
R 	china_future 	instrument:SPD TA410&TA509
R 	china_future 	instrument:SPD MA508&MA509
R 	china_future 	instrument:SPD TC505&TC509
R 	china_future 	instrument:SPD TC505&TC506
R 	china_future 	instrument:SPD TC505&TC507
R 	china_future 	instrument:SPD TC505&TC508
R 	china_future 	instrument:SPD WH501&WH503
R 	china_future 	instrument:SPD WH501&WH505
R 	china_future 	instrument:SPD WH501&WH507
R 	china_future 	instrument:SPD WH501&WH509
R 	china_future 	instrument:SP i1410&i1501
R 	china_future 	instrument:SP i1410&i1504
R 	china_future 	instrument:SPD LR501&LR507
R 	china_future 	instrument:SPD LR501&LR505
R 	china_future 	instrument:SPD LR501&LR509
R 	china_future 	instrument:SPD LR501&LR503
R 	china_future 	instrument:SPD SR501&SR505
R 	china_future 	instrument:SPD SR501&SR511
R 	china_future 	instrument:SPD SR501&SR601
R 	china_future 	instrument:SPD SR501&SR509
R 	china_future 	instrument:SPD SR501&SR507
R 	china_future 	instrument:SPD SR501&SR503
R 	china_future 	instrument:SPD SR501&SR603
R 	china_future 	instrument:SPD TA501&TA502
R 	china_future 	instrument:SPD TA501&TA504
R 	china_future 	instrument:SPD TA501&TA505
R 	china_future 	instrument:SPD TA501&TA506
R 	china_future 	instrument:SPD TA501&TA507
R 	china_future 	instrument:SPD TA501&TA508
R 	china_future 	instrument:SPD TA501&TA503
R 	china_future 	instrument:SPD TA501&TA509
R 	china_future 	instrument:SPD FG412&FG508
R 	china_future 	instrument:SPD FG412&FG502
R 	china_future 	instrument:SPD FG412&FG501
R 	china_future 	instrument:SPD FG412&FG503
R 	china_future 	instrument:SPD FG412&FG505
R 	china_future 	instrument:SPD FG412&FG504
R 	china_future 	instrument:SPD FG412&FG506
R 	china_future 	instrument:SPD FG412&FG507
R 	china_future 	instrument:SPD FG412&FG509
R 	china_future 	instrument:SP a1411&a1501
R 	china_future 	instrument:SP m1509&m1509
R 	china_future 	instrument:SP a1505&a1505
R 	china_future 	instrument:SPC a1505&m1501
R 	china_future 	instrument:SPC a1505&m1505
R 	china_future 	instrument:SP a1505&a1509
R 	china_future 	instrument:SPC a1505&m1509
R 	china_future 	instrument:SPD OI411&OI503
R 	china_future 	instrument:SPD OI411&OI501
R 	china_future 	instrument:SPD OI411&OI505
R 	china_future 	instrument:SPD OI411&OI507
R 	china_future 	instrument:SPD OI411&OI509
R 	china_future 	instrument:SPC l1505&pp1505
R 	china_future 	instrument:SPC l1505&pp1501
R 	china_future 	instrument:SPC l1505&v1505
R 	china_future 	instrument:SP l1505&l1509
R 	china_future 	instrument:SPD MA506&MA509
R 	china_future 	instrument:SPD MA506&MA508
R 	china_future 	instrument:SPD MA506&MA507
R 	china_future 	instrument:SPD FG507&FG508
R 	china_future 	instrument:SPD FG507&FG509
R 	china_future 	instrument:SPD SM503&SM505
R 	china_future 	instrument:SPD SM503&SM506
R 	china_future 	instrument:SPD SM503&SM508
R 	china_future 	instrument:SPD SM503&SM504
R 	china_future 	instrument:SPD SM503&SM507
R 	china_future 	instrument:SPD SM503&SM509
R 	china_future 	instrument:SPD RM503&RM508
R 	china_future 	instrument:SPD RM503&RM507
R 	china_future 	instrument:SPD RM503&RM505
R 	china_future 	instrument:SPD RM503&RM509
R 	china_future 	instrument:SPD RI503&RI507
R 	china_future 	instrument:SPD RI503&RI505
R 	china_future 	instrument:SPD RI503&RI509
R 	china_future 	instrument:SPD OI501&OI505
R 	china_future 	instrument:SPD OI501&OI503
R 	china_future 	instrument:SPD OI501&OI507
R 	china_future 	instrument:SPD OI501&OI509
R 	china_future 	instrument:SPD RI507&RI509
R 	china_future 	instrument:SPD JR507&JR509
R 	china_future 	instrument:SPC fb1509&bb1509
R 	china_future 	instrument:SP bb1410&bb1501
R 	china_future 	instrument:SPD SR507&SR511
R 	china_future 	instrument:SPD SR507&SR509
R 	china_future 	instrument:SPD SR507&SR601
R 	china_future 	instrument:SPD SR507&SR603
R 	china_future 	instrument:SP jd1501&jd1501
R 	china_future 	instrument:SP jd1501&jd1505
R 	china_future 	instrument:SP jd1501&jd1503
R 	china_future 	instrument:SP jd1501&jd1509
R 	china_future 	instrument:SPD JR503&JR505
R 	china_future 	instrument:SPD JR503&JR507
R 	china_future 	instrument:SPD JR503&JR509
R 	china_future 	instrument:SPD SF508&SF509
R 	china_future 	instrument:SPD CF411&CF505
R 	china_future 	instrument:SPD CF411&CF501
R 	china_future 	instrument:SPD CF411&CF503
R 	china_future 	instrument:SPD CF411&CF507
R 	china_future 	instrument:SPD CF411&CF509
R 	china_future 	instrument:SP m1501&m1501
R 	china_future 	instrument:SP m1501&m1503
R 	china_future 	instrument:SP m1501&m1505
R 	china_future 	instrument:SP m1501&m1509
R 	china_future 	instrument:SPC a1501&m1507
R 	china_future 	instrument:SPC a1501&m1501
R 	china_future 	instrument:SP a1501&a1505
R 	china_future 	instrument:SP a1501&a1509
R 	china_future 	instrument:SPC a1501&m1505
R 	china_future 	instrument:SP a1501&a1501
R 	china_future 	instrument:SPC a1501&m1509
R 	china_future 	instrument:SPD MA507&MA508
R 	china_future 	instrument:SPD MA507&MA509
R 	china_future 	instrument:SPD FG506&FG508
R 	china_future 	instrument:SPD FG506&FG507
R 	china_future 	instrument:SPD FG506&FG509
R 	china_future 	instrument:SPD SF412&SF508
R 	china_future 	instrument:SPD SF412&SF501
R 	china_future 	instrument:SPD SF412&SF502
R 	china_future 	instrument:SPD SF412&SF503
R 	china_future 	instrument:SPD SF412&SF504
R 	china_future 	instrument:SPD SF412&SF505
R 	china_future 	instrument:SPD SF412&SF506
R 	china_future 	instrument:SPD SF412&SF507
R 	china_future 	instrument:SPD SF412&SF509
R 	china_future 	instrument:SPD SR601&SR603
R 	china_future 	instrument:SP m1507&m1507
R 	china_future 	instrument:SP jm1505&jm1505
R 	china_future 	instrument:SP jm1505&jm1509
R 	china_future 	instrument:SPD TC508&TC509
R 	china_future 	instrument:SPD SR505&SR507
R 	china_future 	instrument:SPD SR505&SR509
R 	china_future 	instrument:SPD SR505&SR601
R 	china_future 	instrument:SPD SR505&SR511
R 	china_future 	instrument:SPD SR505&SR603
R 	china_future 	instrument:SP bb1411&bb1411
R 	china_future 	instrument:SP bb1411&bb1501
R 	china_future 	instrument:SPD WH503&WH507
R 	china_future 	instrument:SPD WH503&WH505
R 	china_future 	instrument:SPD WH503&WH509
R 	china_future 	instrument:SPD CF501&CF503
R 	china_future 	instrument:SPD CF501&CF505
R 	china_future 	instrument:SPD CF501&CF507
R 	china_future 	instrument:SPD CF501&CF509
R 	china_future 	instrument:SPD FG411&FG508
R 	china_future 	instrument:SPD FG411&FG506
R 	china_future 	instrument:SPD FG411&FG501
R 	china_future 	instrument:SPD FG411&FG412
R 	china_future 	instrument:SPD FG411&FG502
R 	china_future 	instrument:SPD FG411&FG503
R 	china_future 	instrument:SPD FG411&FG505
R 	china_future 	instrument:SPD FG411&FG504
R 	china_future 	instrument:SPD FG411&FG507
R 	china_future 	instrument:SPD FG411&FG509
R 	china_future 	instrument:SPD JR501&JR503
R 	china_future 	instrument:SPD JR501&JR505
R 	china_future 	instrument:SPD JR501&JR507
R 	china_future 	instrument:SPD JR501&JR509
R 	china_future 	instrument:SPD FG504&FG508
R 	china_future 	instrument:SPD FG504&FG505
R 	china_future 	instrument:SPD FG504&FG506
R 	china_future 	instrument:SPD FG504&FG507
R 	china_future 	instrument:SPD FG504&FG509
R 	china_future 	instrument:SPD ME410&ME411
R 	china_future 	instrument:SPD ME410&ME502
R 	china_future 	instrument:SPD ME410&ME503
R 	china_future 	instrument:SPD ME410&ME501
R 	china_future 	instrument:SPD ME410&ME412
R 	china_future 	instrument:SPD ME410&ME505
R 	china_future 	instrument:SPD ME410&ME504
R 	china_future 	instrument:SP i1501&i1509
R 	china_future 	instrument:SPC i1501&j1505
R 	china_future 	instrument:SP i1501&i1501
R 	china_future 	instrument:SPC i1501&jm1501
R 	china_future 	instrument:SPC i1501&jm1505
R 	china_future 	instrument:SP i1501&i1506
R 	china_future 	instrument:SP i1501&i1505
R 	china_future 	instrument:SPC i1501&j1501
R 	china_future 	instrument:SPC j1501&jm1505
R 	china_future 	instrument:SP j1501&j1502
R 	china_future 	instrument:SP j1501&j1501
R 	china_future 	instrument:SPC j1501&jm1501
R 	china_future 	instrument:SP j1501&j1505
R 	china_future 	instrument:SP j1501&j1509
R 	china_future 	instrument:SP v1505&v1509
R 	china_future 	instrument:SPD SF502&SF503
R 	china_future 	instrument:SPD SF502&SF504
R 	china_future 	instrument:SPD SF502&SF505
R 	china_future 	instrument:SPD SF502&SF506
R 	china_future 	instrument:SPD SF502&SF507
R 	china_future 	instrument:SPD SF502&SF508
R 	china_future 	instrument:SPD SF502&SF509
R 	china_future 	instrument:SPD FG502&FG508
R 	china_future 	instrument:SPD FG502&FG504
R 	china_future 	instrument:SPD FG502&FG503
R 	china_future 	instrument:SPD FG502&FG505
R 	china_future 	instrument:SPD FG502&FG506
R 	china_future 	instrument:SPD FG502&FG507
R 	china_future 	instrument:SPD FG502&FG509
R 	china_future 	instrument:SP y1501&y1501
R 	china_future 	instrument:SP y1501&y1505
R 	china_future 	instrument:SPC y1501&p1505
R 	china_future 	instrument:SPC y1501&p1501
R 	china_future 	instrument:SP y1501&y1508
R 	china_future 	instrument:SP y1501&y1509
R 	china_future 	instrument:SPD TC412&TC507
R 	china_future 	instrument:SPD TC412&TC506
R 	china_future 	instrument:SPD TC412&TC505
R 	china_future 	instrument:SPD TC412&TC502
R 	china_future 	instrument:SPD TC412&TC503
R 	china_future 	instrument:SPD TC412&TC501
R 	china_future 	instrument:SPD TC412&TC504
R 	china_future 	instrument:SPD TC412&TC508
R 	china_future 	instrument:SPD TC412&TC509
R 	china_future 	instrument:SPD SR509&SR601
R 	china_future 	instrument:SPD SR509&SR511
R 	china_future 	instrument:SPD SR509&SR603
R 	china_future 	instrument:SP m1412&m1501
R 	china_future 	instrument:SPC l1509&v1509
R 	china_future 	instrument:SPD JR505&JR507
R 	china_future 	instrument:SPD JR505&JR509
R 	china_future 	instrument:SPD TA502&TA507
R 	china_future 	instrument:SPD TA502&TA504
R 	china_future 	instrument:SPD TA502&TA503
R 	china_future 	instrument:SPD TA502&TA505
R 	china_future 	instrument:SPD TA502&TA506
R 	china_future 	instrument:SPD TA502&TA508
R 	china_future 	instrument:SPD TA502&TA509
R 	china_future 	instrument:SP j1411&j1501
R 	china_future 	instrument:agefp
R 	china_future 	instrument:alefp
R 	china_future 	instrument:auefp
R 	china_future 	instrument:buefp
R 	china_future 	instrument:cuefp
R 	china_future 	instrument:fuefp
R 	china_future 	instrument:hcefp
R 	china_future 	instrument:pbefp
R 	china_future 	instrument:rbefp
R 	china_future 	instrument:ruefp
R 	china_future 	instrument:wrefp
R 	china_future 	instrument:znefp
R 	china_future 	query instrument finish
R 	china_future 	connected!
S 	china_future 	login: brokerID:7030 userID:98507 password:123456 seq:0
R 	china_future 	login failed, errorcode=3 errormsg=CTP:不合法的登录 requestid=0chain=1
