R 	china_future 	connected!
R 	china_future 	instrument:JR505
R 	china_future 	instrument:ME505
R 	china_future 	instrument:OI505
R 	china_future 	instrument:RI505
R 	china_future 	instrument:TA505
R 	china_future 	instrument:bb1410
R 	china_future 	instrument:rb1501
R 	china_future 	instrument:wr1501
R 	china_future 	instrument:c1501
R 	china_future 	instrument:fb1501
R 	china_future 	instrument:bb1502
R 	china_future 	instrument:i1502
R 	china_future 	instrument:j1502
R 	china_future 	instrument:jm1502
R 	china_future 	instrument:p1502
R 	china_future 	instrument:ME502
R 	china_future 	instrument:TA502
R 	china_future 	instrument:pp1501
R 	china_future 	instrument:SR509
R 	china_future 	instrument:ag1503
R 	china_future 	instrument:al1503
R 	china_future 	instrument:cu1503
R 	china_future 	instrument:rb1503
R 	china_future 	instrument:ru1503
R 	china_future 	instrument:wr1503
R 	china_future 	instrument:bu1603
R 	china_future 	instrument:a1509
R 	china_future 	instrument:b1503
R 	china_future 	instrument:bb1503
R 	china_future 	instrument:fb1503
R 	china_future 	instrument:RI501
R 	china_future 	instrument:JR501
R 	china_future 	instrument:rb1502
R 	china_future 	instrument:zn1502
R 	china_future 	instrument:i1503
R 	china_future 	instrument:zn1503
R 	china_future 	instrument:jd1503
R 	china_future 	instrument:jm1503
R 	china_future 	instrument:pp1503
R 	china_future 	instrument:v1503
R 	china_future 	instrument:y1503
R 	china_future 	instrument:JR503
R 	china_future 	instrument:RM503
R 	china_future 	instrument:TA503
R 	china_future 	instrument:TF1412
R 	china_future 	instrument:hc1410
R 	china_future 	instrument:fu1504
R 	china_future 	instrument:au1504
R 	china_future 	instrument:ru1504
R 	china_future 	instrument:zn1504
R 	china_future 	instrument:jm1504
R 	china_future 	instrument:l1504
R 	china_future 	instrument:p1504
R 	china_future 	instrument:v1504
R 	china_future 	instrument:ME504
R 	china_future 	instrument:cu1505
R 	china_future 	instrument:rb1505
R 	china_future 	instrument:c1505
R 	china_future 	instrument:j1505
R 	china_future 	instrument:pp1505
R 	china_future 	instrument:fb1410
R 	china_future 	instrument:fb1411
R 	china_future 	instrument:bb1412
R 	china_future 	instrument:OI501
R 	china_future 	instrument:j1501
R 	china_future 	instrument:al1502
R 	china_future 	instrument:au1502
R 	china_future 	instrument:cu1502
R 	china_future 	instrument:fb1502
R 	china_future 	instrument:jd1502
R 	china_future 	instrument:ME503
R 	china_future 	instrument:RI503
R 	china_future 	instrument:hc1503
R 	china_future 	instrument:ag1504
R 	china_future 	instrument:TC504
R 	china_future 	instrument:CF505
R 	china_future 	instrument:PM505
R 	china_future 	instrument:RM505
R 	china_future 	instrument:WH505
R 	china_future 	instrument:SR511
R 	china_future 	instrument:fu1506
R 	china_future 	instrument:TC506
R 	china_future 	instrument:bu1606
R 	china_future 	instrument:ag1506
R 	china_future 	instrument:al1506
R 	china_future 	instrument:cu1506
R 	china_future 	instrument:hc1506
R 	china_future 	instrument:ag1501
R 	china_future 	instrument:CF501
R 	china_future 	instrument:TC501
R 	china_future 	instrument:ME501
R 	china_future 	instrument:PM501
R 	china_future 	instrument:RM501
R 	china_future 	instrument:SR507
R 	china_future 	instrument:pb1502
R 	china_future 	instrument:wr1502
R 	china_future 	instrument:p1503
R 	china_future 	instrument:hc1502
R 	china_future 	instrument:al1504
R 	china_future 	instrument:hc1504
R 	china_future 	instrument:pb1504
R 	china_future 	instrument:wr1504
R 	china_future 	instrument:fb1504
R 	china_future 	instrument:fu1505
R 	china_future 	instrument:TC505
R 	china_future 	instrument:FG505
R 	china_future 	instrument:pb1506
R 	china_future 	instrument:rb1506
R 	china_future 	instrument:wr1506
R 	china_future 	instrument:zn1506
R 	china_future 	instrument:bb1506
R 	china_future 	instrument:fb1506
R 	china_future 	instrument:i1506
R 	china_future 	instrument:j1506
R 	china_future 	instrument:jd1506
R 	china_future 	instrument:jm1506
R 	china_future 	instrument:l1506
R 	china_future 	instrument:m1507
R 	china_future 	instrument:RI507
R 	china_future 	instrument:WH507
R 	china_future 	instrument:LR503
R 	china_future 	instrument:MA507
R 	china_future 	instrument:SM502
R 	china_future 	instrument:SM508
R 	china_future 	instrument:fu1509
R 	china_future 	instrument:fb1509
R 	china_future 	instrument:pp1509
R 	china_future 	instrument:v1509
R 	china_future 	instrument:SF509
R 	china_future 	instrument:WH509
R 	china_future 	instrument:al1509
R 	china_future 	instrument:JR509
R 	china_future 	instrument:LR509
R 	china_future 	instrument:RI509
R 	china_future 	instrument:RS509
R 	china_future 	instrument:TA509
R 	china_future 	instrument:ag1509
R 	china_future 	instrument:SM509
R 	china_future 	instrument:au1508
R 	china_future 	instrument:cu1509
R 	china_future 	instrument:hc1509
R 	china_future 	instrument:zn1509
R 	china_future 	instrument:c1509
R 	china_future 	instrument:j1509
R 	china_future 	instrument:jm1509
R 	china_future 	instrument:m1509
R 	china_future 	instrument:OI507
R 	china_future 	instrument:PM507
R 	china_future 	instrument:TA507
R 	china_future 	instrument:SR601
R 	china_future 	instrument:ag1508
R 	china_future 	instrument:al1508
R 	china_future 	instrument:cu1508
R 	china_future 	instrument:hc1508
R 	china_future 	instrument:pb1508
R 	china_future 	instrument:rb1508
R 	china_future 	instrument:zn1508
R 	china_future 	instrument:au1411
R 	china_future 	instrument:bu1502
R 	china_future 	instrument:fu1508
R 	china_future 	instrument:fb1508
R 	china_future 	instrument:j1508
R 	china_future 	instrument:y1508
R 	china_future 	instrument:FG508
R 	china_future 	instrument:RS508
R 	china_future 	instrument:TA508
R 	china_future 	instrument:TC508
R 	china_future 	instrument:SF411
R 	china_future 	instrument:p1509
R 	china_future 	instrument:y1509
R 	china_future 	instrument:FG509
R 	china_future 	instrument:MA509
R 	china_future 	instrument:OI509
R 	china_future 	instrument:PM509
R 	china_future 	instrument:RM509
R 	china_future 	instrument:i1507
R 	china_future 	instrument:i1508
R 	china_future 	instrument:IF1503
R 	china_future 	instrument:LR411
R 	china_future 	instrument:jm1508
R 	china_future 	instrument:RM508
R 	china_future 	instrument:SF412
R 	china_future 	instrument:SM411
R 	china_future 	instrument:IF1411
R 	china_future 	instrument:SR603
R 	china_future 	instrument:b1509
R 	china_future 	instrument:bu1609
R 	china_future 	instrument:pb1509
R 	china_future 	instrument:rb1509
R 	china_future 	instrument:ru1509
R 	china_future 	instrument:wr1509
R 	china_future 	instrument:a1603
R 	china_future 	instrument:bb1509
R 	china_future 	instrument:i1509
R 	china_future 	instrument:jd1509
R 	china_future 	instrument:l1509
R 	china_future 	instrument:CF509
R 	china_future 	instrument:RM507
R 	china_future 	instrument:RS507
R 	china_future 	instrument:m1508
R 	china_future 	instrument:p1508
R 	china_future 	instrument:MA508
R 	china_future 	instrument:TC509
R 	china_future 	instrument:TF1506
R 	china_future 	instrument:b1507
R 	china_future 	instrument:LR507
R 	china_future 	instrument:SF502
R 	china_future 	instrument:a1601
R 	china_future 	instrument:p1507
R 	china_future 	instrument:v1507
R 	china_future 	instrument:ru1508
R 	china_future 	instrument:wr1508
R 	china_future 	instrument:IF1410
R 	china_future 	instrument:SF504
R 	china_future 	instrument:SM412
R 	china_future 	instrument:SM501
R 	china_future 	instrument:fu1507
R 	china_future 	instrument:bb1507
R 	china_future 	instrument:c1507
R 	china_future 	instrument:fb1507
R 	china_future 	instrument:j1507
R 	china_future 	instrument:jm1507
R 	china_future 	instrument:l1507
R 	china_future 	instrument:pp1507
R 	china_future 	instrument:y1507
R 	china_future 	instrument:CF507
R 	china_future 	instrument:FG507
R 	china_future 	instrument:JR507
